val_loss,epoch,step,train_loss
0.15441758930683136,0,22,
0.1005830243229866,1,45,
,2,49,0.0863925889134407
0.07957634329795837,2,68,
0.06840507686138153,3,91,
,4,99,0.07369568943977356
0.07321402430534363,4,114,
0.06844990700483322,5,137,
,6,149,0.05289250239729881
0.05565566197037697,6,160,
0.0544564351439476,7,183,
,8,199,0.055323898792266846
0.05140097811818123,8,206,
0.04856841266155243,9,229,
,10,249,0.04771842062473297
0.04497256502509117,10,252,
0.04413970187306404,11,275,
0.03877662867307663,12,298,
,13,299,0.038122594356536865
0.03965512290596962,13,321,
0.035294461995363235,14,344,
,15,349,0.044019877910614014
0.03404543548822403,15,367,
0.030528688803315163,16,390,
,17,399,0.03552184998989105
0.028085166588425636,17,413,
0.02698223851621151,18,436,
,19,449,0.03778736665844917
0.02485429123044014,19,459,
0.02298615127801895,20,482,
,21,499,0.01786692813038826
0.0228652935475111,21,505,
0.02345111034810543,22,528,
,23,549,0.025006728246808052
0.02107596956193447,23,551,
0.020246796309947968,24,574,
0.021352173760533333,25,597,
,26,599,0.027798671275377274
0.02030722051858902,26,620,
0.025066964328289032,27,643,
,28,649,0.022657835856080055
0.017831388860940933,28,666,
0.016485299915075302,29,689,
,30,699,0.02528911828994751
0.015797864645719528,30,712,
0.016581712290644646,31,735,
,32,749,0.020103225484490395
0.015288383699953556,32,758,
0.01476569939404726,33,781,
,34,799,0.01599344238638878
0.015257444232702255,34,804,
0.01430408377200365,35,827,
,36,849,0.018207335844635963
0.014190980233252048,36,850,
0.013447086326777935,37,873,
0.014406113885343075,38,896,
,39,899,0.014196805655956268
0.013471709564328194,39,919,
0.012843805365264416,40,942,
,41,949,0.013222743757069111
0.01248339843004942,41,965,
0.012399737723171711,42,988,
,43,999,0.013853160664439201
0.013477001339197159,43,1011,
0.01173624861985445,44,1034,
,45,1049,0.018707264214754105
0.01221964880824089,45,1057,
0.012424207292497158,46,1080,
,47,1099,0.016389042139053345
0.011494215577840805,47,1103,
0.0112749133259058,48,1126,
,49,1149,0.009695317596197128
0.010474910028278828,49,1149,
0.016656985506415367,50,1172,
0.011274402029812336,51,1195,
,52,1199,0.012296712957322598
0.011483400128781796,52,1218,
0.01027114037424326,53,1241,
,54,1249,0.012266703881323338
0.010650468058884144,54,1264,
0.00995598640292883,55,1287,
,56,1299,0.012153846211731434
0.00948212668299675,56,1310,
0.010364864021539688,57,1333,
,58,1349,0.009033869951963425
0.009316549636423588,58,1356,
0.009211016818881035,59,1379,
,60,1399,0.013143114745616913
0.009271531365811825,60,1402,
0.010871339589357376,61,1425,
0.009098883718252182,62,1448,
,63,1449,0.010416559875011444
0.009198437444865704,63,1471,
0.009677756577730179,64,1494,
,65,1499,0.011273069307208061
0.011162213049829006,65,1517,
0.008840926922857761,66,1540,
,67,1549,0.013657607138156891
0.012888750992715359,67,1563,
0.009599077515304089,68,1586,
,69,1599,0.013113614171743393
0.009344399906694889,69,1609,
0.01590406708419323,70,1632,
,71,1649,0.016295231878757477
0.012237499468028545,71,1655,
0.008616948500275612,72,1678,
,73,1699,0.010970537550747395
0.008170965127646923,73,1701,
0.00838510412722826,74,1724,
0.008326904848217964,75,1747,
,76,1749,0.009450707584619522
0.0076880562119185925,76,1770,
0.007562600541859865,77,1793,
,78,1799,0.011476732790470123
0.007688144221901894,78,1816,
0.007511085830628872,79,1839,
,80,1849,0.0064720893278717995
0.007909094914793968,80,1862,
0.00915620382875204,81,1885,
,82,1899,0.008694974705576897
0.007819724269211292,82,1908,
0.00947327259927988,83,1931,
,84,1949,0.008980054408311844
0.008013475686311722,84,1954,
0.006906765978783369,85,1977,
,86,1999,0.009422503411769867
0.007181802298873663,86,2000,
0.007009922992438078,87,2023,
0.006694341544061899,88,2046,
,89,2049,0.009988337755203247
0.006604373455047607,89,2069,
0.00726940156891942,90,2092,
,91,2099,0.009260923601686954
0.007983224466443062,91,2115,
0.006910680327564478,92,2138,
,93,2149,0.008210213854908943
0.006822254043072462,93,2161,
0.006497547496110201,94,2184,
,95,2199,0.008110076189041138
0.006551782600581646,95,2207,
0.006944961380213499,96,2230,
,97,2249,0.006888930220156908
0.006971101742237806,97,2253,
0.007644874043762684,98,2276,
,99,2299,0.006746453698724508
0.006295095197856426,99,2299,
